frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"30","1774872147.960474000","117","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","46","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"31","1774872148.589097000","120","6LoWPAN",,,"0xc841","47","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0x0001","True","0x0003","0x0003","0x0003"
"32","1774872148.594359000","124","6LoWPAN",,,"0xc841","48","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"33","1774872148.599586000","48","MDNS","fe80::d8b2:4c9b:f624:ed2e","ff02::fb","0xc841","49","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"34","1774872155.358887000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","50","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"35","1774872163.571697000","95","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::16","0xc841","51","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::16","0x0003","False","0x0001","0x0003","0x0003"
"36","1774872163.728586000","56","ICMPv6","::","ff02::1:ff00:1","0xc841","52","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"::","ff02::1:ff00:1","0x0003","False","0x0003","0x0000","0x0001"
"37","1774872163.899933000","95","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::16","0xc841","53","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::16","0x0003","False","0x0001","0x0003","0x0003"
"38","1774872165.385038000","120","6LoWPAN",,,"0xc841","54","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fd00:4::1","ff02::fb","0x0001","True","0x0003","0x0000","0x0003"
"39","1774872165.393117000","85","MDNS","fd00:4::1","ff02::fb","0xc841","55","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
